Gene.primaryIdentifier	Gene.secondaryIdentifier	Gene.symbol	Gene.name	Gene.description	Gene.qualifier	Gene.chromosome.primaryIdentifier	Gene.chromosomeLocation.start	Gene.chromosomeLocation.end	Gene.chromosomeLocation.strand
S000005401	YOL041C	NOP12	NucleOlar Protein	Nucleolar protein involved in pre-25S rRNA processing; also involved in biogenesis of large 60S ribosomal subunit; contains an RNA recognition motif (RRM); binds to Ebp2; similar to Nop13p and Nsr1p	Verified	chrXV	251267	252646	-1
S000005402	YOL042W	NGL1	""	Putative endonuclease; has a domain similar to a magnesium-dependent endonuclease motif in mRNA deadenylase Ccr4p; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies	Verified	chrXV	249825	250916	1
S000005403	YOL043C	NTG2	eNdonuclease Three-like Glycosylase	DNA N-glycosylase and apurinic/apyrimidinic (AP) lyase; involved in base excision repair, localizes to the nucleus; sumoylated; NTG2 has a paralog, NTG1, that arose from the whole genome duplication	Verified	chrXV	248392	249534	-1
S000005404	YOL044W	PEX15	PEroXisome related	Tail-anchored type II integral peroxisomal membrane protein; required for peroxisome biogenesis; cells lacking Pex15p mislocalize peroxisomal matrix proteins to cytosol; overexpression results in impaired peroxisome assembly	Verified	chrXV	247150	248301	1
S000005405	YOL045W	PSK2	Pas domain-containing Serine/threonine protein Kinase	PAS-domain containing serine/threonine protein kinase; regulates sugar flux and translation in response to an unknown metabolite by phosphorylating Ugp1p and Gsy2p (sugar flux) and Caf20p, Tif11p and Sro9p (translation); PSK2 has a paralog, PSK1, that arose from the whole genome duplication	Verified	chrXV	243497	246802	1
S000005406	YOL046C	""	""	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; almost completely overlaps the verified gene PSK2/YOL045W	Dubious	chrXV	243466	244140	-1
S000005407	YOL047C	LDS2	Lipid Droplets in Sporulation	Protein Involved in spore wall assembly; localizes to lipid droplets found on or outside of the prospore membrane; shares similarity with Lds1p and Rrt8p, and a strain mutant for all 3 genes exhibits reduced dityrosine fluorescence relative to the single mutants; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm in a punctate pattern	Verified	chrXV	241614	242747	-1
S000005408	YOL048C	RRT8	Regulator of rDNA Transcription	Protein involved in spore wall assembly; shares similarity with Lds1p and Lds2p and a strain mutant for all 3 genes exhibits reduced dityrosine fluorescence relative to the single mutants; identified in a screen for mutants with increased levels of rDNA transcription; green fluorescent protein (GFP)-fusion protein localizes to lipid particles; protein abundance increases in response to DNA replication stress	Verified	chrXV	240204	241310	-1
S000005409	YOL049W	GSH2	Glutathione	Glutathione synthetase; catalyzes the ATP-dependent synthesis of glutathione (GSH) from gamma-glutamylcysteine and glycine; induced by oxidative stress and heat shock	Verified	chrXV	238619	240094	1
S000005410	YOL050C	""	""	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; overlaps verified gene GAL11; deletion confers sensitivity to 4-(N-(S-glutathionylacetyl)amino) phenylarsenoxide (GSAO)	Dubious	chrXV	237882	238202	-1
S000005411	YOL051W	GAL11	GALactose metabolism	Subunit of the RNA polymerase II mediator complex; associates with core polymerase subunits to form the RNA polymerase II holoenzyme; affects transcription by acting as target of activators and repressors; forms part of the tail domain of mediator	Verified	chrXV	234940	238185	1
S000005412	YOL052C	SPE2	SPErmidine auxotroph	S-adenosylmethionine decarboxylase; required for the biosynthesis of spermidine and spermine; cells lacking Spe2p require spermine or spermidine for growth in the presence of oxygen but not when grown anaerobically	Verified	chrXV	232446	233636	-1
S000005413	YOL052C-A	DDR2	DNA Damage Responsive	Multi-stress response protein; expression is activated by a variety of xenobiotic agents and environmental or physiological stresses; DDR2 has a paralog, HOR7, that arose from the whole genome duplication	Verified	chrXV	231570	231755	-1
S000005414	YOL053W	AIM39	Altered Inheritance rate of Mitochondria	Protein of unknown function; null mutant displays elevated frequency of mitochondrial genome loss; localizes to mitochondria, cytosol and to the peroxisome in a Pex5p-dependent manner in glucose	Verified	chrXV	230085	231272	1
S000005415	YOL054W	PSH1	Pob3/Spt16 Histone associated	E3 ubiquitin ligase targeting centromere-binding protein Cse4p; mediates polyubiquitination and degradation of histone H3 variant Cse4p; ubiquitination of Cse4p may be antagonized by Scm3p; interacts with the FACT complex preventing mislocalization of Cse4p to euchromatin independent of Slx5p; formyl-methionine/N-recognin component of N-end rule pathway mediating destruction of formylated cytosolic proteins elevated in response to starvation or stationary phase entry	Verified	chrXV	228614	229834	1
S000005416	YOL055C	THI20	THIamine metabolism	Trifunctional enzyme of thiamine biosynthesis, degradation and salvage; has hydroxymethylpyrimidine (HMP) kinase, HMP-phosphate (HMP-P) kinase and thiaminase activities; member of a gene family with THI21 and THI22; HMP and HMP-P kinase activity redundant with Thi21p	Verified	chrXV	224420	226075	-1
S000005417	YOL056W	GPM3	Glycerate PhosphoMutase	Nonfunctional homolog of Gpm1p phosphoglycerate mutase; if functional, would convert 3-phosphoglycerate to 2-phosphoglycerate in glycolysis; GPM3 has a paralog, GPM2, that arose from the whole genome duplication	Verified	chrXV	223268	224179	1
S000005418	YOL057W	""	""	Dipeptidyl-peptidase III; cleaves dipeptides from the amino terminus of target proteins; highly active on synthetic substrate Arg-Arg-2-naphthylamide; mammalian ortholog may be a biomarker for some cancers	Verified	chrXV	220767	222902	1
S000005419	YOL058W	ARG1	ARGinine requiring	Argininosuccinate synthetase; catalyzes the formation of L-argininosuccinate from citrulline and L-aspartate in the arginine biosynthesis pathway; potential Cdc28p substrate	Verified	chrXV	219211	220473	1
S000005420	YOL059W	GPD2	Glycerol-3-Phosphate Dehydrogenase	NAD-dependent glycerol 3-phosphate dehydrogenase; expression is controlled by an oxygen-independent signaling pathway required to regulate metabolism under anoxic conditions; located in cytosol and mitochondria; constitutively active but is inactivated via phosphorylation by energy-stress responsive kinase SNF1; GPD2 has a paralog, GPD1, that arose from the whole genome duplication	Verified	chrXV	217126	218448	1
S000005421	YOL060C	MAM3	""	Protein involved in magnesium homeostasis; required for Mg2+ sequestration in vacuole; required for normal mitochondrial morphology; has similarity to hemolysins	Verified	chrXV	214017	216137	-1
S000005422	YOL061W	PRS5	PhosphoRibosylpyrophosphate Synthetase	5-phospho-ribosyl-1(alpha)-pyrophosphate synthetase; synthesizes PRPP, which is required for nucleotide, histidine, and tryptophan biosynthesis; one of five related enzymes, which are active as heteromultimeric complexes; forms cytoplasmic foci upon DNA replication stress	Verified	chrXV	212244	213734	1
S000005423	YOL062C	APM4	clathrin Adaptor Protein complex Medium chain	Cargo-binding mu subunit of AP-2; AP-2 is a heterotetrameric endocytic cargo-binding adaptor that facilitates uptake of membrane proteins during clathrin-mediated endocytosis; Apm4p is required for AP-2 function and localization, and binds cell wall stress receptor Mid2p; AP-2 is required for cell polarity responses to pheromone, nutritional status and cell wall damage in S. cerevisiae, and for hyphal growth in C. albicans; AP-2 complex is conserved in mammals	Verified	chrXV	210520	211995	-1
S000005424	YOL063C	CRT10	Constitutive RNR Transcription regulators	Protein required for the degradation of mutant 25S rRNAs; functions in Mms1 pathway of nonfunctional 25S rRNA decay; expression induced by DNA damage and null mutations confer increased resistance to hydroxyurea; N-terminal region has a leucine repeat and a WD40 repeat	Verified	chrXV	207392	210265	-1
S000005425	YOL064C	MET22	METhionine requiring	Bisphosphate-3'-nucleotidase; involved in salt tolerance and methionine biogenesis; dephosphorylates 3'-phosphoadenosine-5'-phosphate and 3'-phosphoadenosine-5'-phosphosulfate, intermediates of the sulfate assimilation pathway; human homolog BPNT1 complements yeast null mutant	Verified	chrXV	206103	207176	-1
S000005426	YOL065C	INP54	INositol polyphosphate 5-Phosphatase	Phosphatidylinositol 4,5-bisphosphate 5-phosphatase; role in secretion; localizes to the endoplasmic reticulum via the C-terminal tail; lacks the Sac1 domain and proline-rich region found in the other 3 INP proteins	Verified	chrXV	204731	205885	-1
S000005427	YOL066C	RIB2	RIBoflavin biosynthesis	Bifunctional DRAP deaminase tRNA:pseudouridine synthase; the deaminase catalyzes the third step in riboflavin biosynthesis and the synthase catalyzes formation of pseudouridine at position 32 in cytoplasmic tRNAs; RIB2 has a paralog, PUS9, that arose from the whole genome duplication	Verified	chrXV	202696	204471	-1
S000005428	YOL067C	RTG1	ReTroGrade regulation	Transcription factor (bHLH) involved in interorganelle communication; contributes to communication between mitochondria, peroxisomes, and nucleus; target of Hog1p; activated in stochastic pulses of nuclear localization	Verified	chrXV	201985	202518	-1
S000005429	YOL068C	HST1	Homolog of SIR Two (SIR2)	NAD(+)-dependent histone deacetylase; essential subunit of the Sum1p/Rfm1p/Hst1p complex required for ORC-dependent silencing and meiotic repression; non-essential subunit of the Set3C deacetylase complex; involved in telomere maintenance; HST1 has a paralog, SIR2, that arose from the whole genome duplication	Verified	chrXV	200368	201879	-1
S000005430	YOL069W	NUF2	NUclear Filament-containing protein	Component of the kinetochore-associated Ndc80 complex; involved in chromosome segregation, spindle checkpoint activity, and kinetochore clustering; evolutionarily conserved; other members include Ndc80p, Nuf2p, Spc24p, and Spc25p	Verified	chrXV	198942	200297	1
S000005431	YOL070C	NBA1	Nap1p and Bud neck Associated	Protein involved in axial bud site selection; prevents repolarization of cells at previous division sites; recruited by Aim44p and Nap1p to the cell cortex and to cytokinesis remnants (bud scars) where it prevents Rsr1p-mediated activation of Cdc24p, the Cdc42p GEF; localizes to the cytoplasm, and the cell division site prior to being stably recruited to cytokinesis remnants; establishes the transient localization of Rga1p, a Cdc42p GAP, at bud scars along with Nis1p; potential Cdc28p substrate	Verified	chrXV	197220	198725	-1
S000005432	YOL071W	SDH5	Succinate DeHydrogenase	Protein required for flavinylation of Sdh1p; binds to Sdh1p and promotes FAD cofactor attachment, which is necessary for succinate dehydrogenase (SDH) complex assembly and activity; mutations in human ortholog PGL2 are associated with neuroendocrine tumors (paraganglioma)	Verified	chrXV	196507	196995	1
S000005433	YOL072W	THP1	Tho2/Hpr1 Phenotype	Nuclear pore-associated protein; component of TREX-2 complex (Sac3p-Thp1p-Sus1p-Cdc31p) involved in transcription elongation and mRNA export from the nucleus; involved in post-transcriptional tethering of active genes to the nuclear periphery and to non-nascent mRNP; contains a PAM domain implicated in protein-protein binding	Verified	chrXV	194970	196337	1
S000005434	YOL073C	DSC2	Defective for SREBP Cleavage	Multi-transmembrane subunit of the DSC ubiquitin ligase complex; similar in sequence to rhomboid pseudoproteases Der1p and UBAC2 that function in ERAD; ortholog of fission yeast dsc2	Verified	chrXV	193832	194800	-1
S000005435	YOL075C	""	""	Putative ABC transporter	Verified	chrXV	189658	193542	-1
S000005436	YOL076W	MDM20	Mitochondrial Distribution and Morphology	Non-catalytic subunit of the NatB N-terminal acetyltransferase; NatB catalyzes N-acetylation of proteins with specific N-terminal sequences; involved in mitochondrial inheritance and actin assembly	Verified	chrXV	187024	189414	1
S000005437	YOL077C	BRX1	Xenopus laevis Brix (Biogenesis of Ribosomes in Xenopus) homolog	Nucleolar protein; constituent of 66S pre-ribosomal particles; depletion leads to defects in rRNA processing and a block in the assembly of large ribosomal subunits; possesses a sigma(70)-like RNA-binding motif	Verified	chrXV	185848	186723	-1
S000005438	YOL078W	AVO1	Adheres VOraciously (to TOR2)	Subunit of TORC2, a regulator of plasma membrane (PM) homeostasis; C-terminal PH domain binds to phosphoinositide-(4,5)-bisphosphate (PI(4,5)P2); binds directly to Ypk2p a Tor2p substrate and downstream TORC2 effector through a conserved central CRIM domain; acts with Tsc11p as a scaffold important for the integrity of the TORC2 complex; dispensable for PM localization of TORC2; role in regulating actin organization and growth control; orthologous to human MAPKAP1/SIN1	Verified	chrXV	181682	185212	1
S000005439	YOL079W	""	""	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data	Dubious	chrXV	181057	181455	1
S000005440	YOL080C	REX4	Rna EXonuclease	Putative RNA exonuclease; possibly involved in pre-rRNA processing and ribosome assembly	Verified	chrXV	180558	181427	-1
S000005441	YOL081W	IRA2	Inhibitory Regulator of the RAS-cAMP pathway	GTPase-activating protein; negatively regulates RAS by converting it from the GTP- to the GDP-bound inactive form, required for reducing cAMP levels under nutrient limiting conditions; IRA2 has a paralog, IRA1, that arose from the whole genome duplication; defects in human homolog NF1 are associated with neurofibromatosis	Verified	chrXV	171070	180309	1
S000005442	YOL082W	ATG19	AuTophaGy related	Receptor protein for the cytoplasm-to-vacuole targeting (Cvt) pathway; delivers cargo proteins aminopeptidase I (Ape1p) and alpha-mannosidase (Ams1p) to the phagophore assembly site for packaging into Cvt vesicles; interaction with Atg19p during the Cvt pathway requires phosphorylation by Hrr25p	Verified	chrXV	168727	169974	1
S000005443	YOL083W	ATG34	AuTophaGy related	Receptor protein involved in selective autophagy during starvation; specifically involved in the transport of cargo protein alpha-mannosidase (Ams1p); Atg19p paralog	Verified	chrXV	165714	166952	1
S000005444	YOL084W	PHM7	PHosphate Metabolism	Protein of unknown function; expression is regulated by phosphate levels; green fluorescent protein (GFP)-fusion protein localizes to the cell periphery and vacuole; protein abundance increases in response to DNA replication stress	Verified	chrXV	162356	165331	1
S000005445	YOL085C	""	""	Putative protein of unknown function; conserved among S. cerevisiae strains; YOL085C is not an essential gene; partially overlaps dubious ORF YOL085W-A	Uncharacterized	chrXV	161673	162014	-1
S000005446	YOL086C	ADH1	Alcohol DeHydrogenase	Alcohol dehydrogenase; fermentative isozyme active as homo- or heterotetramers; required for the reduction of acetaldehyde to ethanol, the last step in the glycolytic pathway; ADH1 has a paralog, ADH5, that arose from the whole genome duplication	Verified	chrXV	159548	160594	-1
S000005447	YOL087C	DUF1	DUB-associated Factor	Ubiquitin-binding protein of unknown function; contains one WD40 repeat in a beta-propeller fold; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm; homolog of human WDR48/UAF1, which is involved in regulating the Fanconi anemia pathway; deletion mutant is sensitive to various chemicals including phenanthroline, sanguinarine, and nordihydroguaiaretic acid	Verified	chrXV	155287	158637	-1
S000005448	YOL088C	MPD2	Multicopy suppressor of PDI1 deletion	Member of the protein disulfide isomerase (PDI) family; exhibits chaperone activity; overexpression suppresses the lethality of a pdi1 deletion but does not complement all Pdi1p functions; undergoes oxidation by Ero1p	Verified	chrXV	153912	154745	-1
S000005449	YOL089C	HAL9	HALotolerance	Putative transcription factor containing a zinc finger; overexpression increases salt tolerance through increased expression of the ENA1 (Na+/Li+ extrusion pump) gene while gene disruption decreases both salt tolerance and ENA1 expression; HAL9 has a paralog, TBS1, that arose from the whole genome duplication	Verified	chrXV	150398	153490	-1
S000005450	YOL090W	MSH2	MutS Homolog	Protein that binds to DNA mismatches; forms heterodimers with Msh3p and Msh6p that bind to DNA mismatches to initiate the mismatch repair process; contains a Walker ATP-binding motif required for repair activity and involved in interstrand cross-link repair; Msh2p-Msh6p binds to and hydrolyzes ATP; required for silencing at the silent mating-type loci and telomeres	Verified	chrXV	147382	150276	1
S000005451	YOL091W	SPO21	SPOrulation	Component of the meiotic outer plaque of the spindle pole body; involved in modifying the meiotic outer plaque that is required prior to prospore membrane formation; SPO21 has a paralog, YSW1, that arose from the whole genome duplication	Verified	chrXV	145334	147163	1
S000005452	YOL092W	YPQ1	Yeast PQ-loop protein	Putative vacuolar membrane transporter for cationic amino acids; likely contributes to amino acid homeostasis by exporting cationic amino acids from the vacuole; member of the PQ-loop family, with seven transmembrane domains; similar to mammalian PQLC2 vacuolar transporter; YPQ1 has a paralog, RTC2, that arose from the whole genome duplication	Verified	chrXV	144204	145130	1
S000005453	YOL093W	TRM10	Transfer RNA Methyltransferase	tRNA methyltransferase; methylates the N-1 of guanine at position 9 in tRNAs; involved in the methylation of guanosine and uridine ribonucleosides in mRNA; member of the SPOUT (SpoU-TrmD) methyltransferase family; human ortholog TRMT10A plays a role in the pathogenesis of microcephaly and early onset diabetes; an 18-mer ncRNA originates from the TRM10 locus; genetic analysis shows the 18-mer ncRNA is a translational regulator; protein abundance increases in response to DNA replication stress	Verified	chrXV	142815	143696	1
S000005454	YOL094C	RFC4	Replication Factor C	Subunit of heteropentameric Replication factor C (RF-C); which is a DNA binding protein and ATPase that acts as a clamp loader of the proliferating cell nuclear antigen (PCNA) processivity factor for DNA polymerases delta and epsilon; relocalizes to the cytosol in response to hypoxia	Verified	chrXV	141584	142555	-1
S000005455	YOL095C	HMI1	Helicase in MItochondria	Mitochondrial inner membrane localized ATP-dependent DNA helicase; required for the maintenance of the mitochondrial genome; not required for mitochondrial transcription; has homology to E. coli helicase uvrD	Verified	chrXV	139227	141347	-1
S000005456	YOL096C	COQ3	COenzyme Q	O-methyltransferase; catalyzes two different O-methylation steps in ubiquinone (Coenzyme Q) biosynthesis; component of a mitochondrial ubiquinone-synthesizing complex; phosphoprotein	Verified	chrXV	138107	139045	-1
S000005457	YOL097C	WRS1	W (tryptophan) RS (tRNA synthetase)	Cytoplasmic tryptophanyl-tRNA synthetase; aminoacylates tryptophanyl-tRNA; human homolog WARS can complement yeast null mutant	Verified	chrXV	136527	137825	-1
S000005458	YOL098C	SDD3	Suppressor of Degenerative Death	Putative metalloprotease; overproduction suppresses lethality due to expression of the dominant PET9 allele AAC2-A128P	Verified	chrXV	132725	135838	-1
S000005459	YOL099C	""	""	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps verified gene PKH2/YOL100W; may interact with ribosomes	Dubious	chrXV	132017	132508	-1
S000005460	YOL100W	PKH2	Pkb-activating Kinase Homolog	Serine/threonine protein kinase; involved in sphingolipid-mediated signaling pathway that controls endocytosis; activates Ypk1p and Ykr2p, components of signaling cascade required for maintenance of cell wall integrity; contains a PH-like domain; redundant with Pkh1p; PKH2 has a paralog, PKH1, that arose from the whole genome duplication	Verified	chrXV	129237	132482	1
S000005461	YOL101C	IZH4	Implicated in Zinc Homeostasis	Membrane protein involved in zinc ion homeostasis; member of the four-protein IZH family; expression induced by fatty acids and altered zinc levels; deletion reduces sensitivity to excess zinc; possible role in sterol metabolism; protein increases in abundance and relocalizes from nucleus to ER upon DNA replication stress; IZH4 has a paralog, IZH1, that arose from the whole genome duplication	Verified	chrXV	126982	127920	-1
S000005462	YOL102C	TPT1	tRNA 2'-PhosphoTransferase	tRNA 2'-phosphotransferase; catalyzes the final step in tRNA splicing, transferring the 2'-PO(4) from the splice junction to NAD(+), forming ADP-ribose 1''-2''cyclic phosphate and nicotinamide; ADP-ribosyltransferase that ADP-ribosylates 5'-phosphorylated ssDNA and ssRNAs; human and mouse orthologs complement the inviability of the yeast null mutant	Verified	chrXV	125997	126689	-1
S000005463	YOL103W	ITR2	myo-Inositol TRansporter	Myo-inositol transporter; member of the sugar transporter superfamily; expressed constitutively; ITR2 has a paralog, ITR1, that arose from the whole genome duplication	Verified	chrXV	124001	125830	1
S000005464	YOL104C	NDJ1	NonDisJunction	Protein that regulates meiotic SPB cohesion and telomere clustering; localizes to both spindle pole bodies (SPBs) and telomeres; required for bouquet formation, effective homolog pairing, ordered cross-over distribution, sister chromatid cohesion at meiotic telomeres, chromosomal segregation and telomere-led rapid prophase movement	Verified	chrXV	116396	117454	-1
S000005465	YOL105C	WSC3	cell Wall integrity and Stress response Component	Sensor-transducer of the stress-activated PKC1-MPK1 signaling pathway; involved in maintenance of cell wall integrity; involved in response to heat shock and other stressors; regulates 1,3-beta-glucan synthesis; WSC3 has a paralog, WSC2, that arose from the whole genome duplication	Verified	chrXV	114138	115808	-1
S000005466	YOL106W	""	""	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data	Dubious	chrXV	113226	113579	1
S000005467	YOL107W	""	""	Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and colocalizes in a punctate pattern with the early golgi/COPI vesicles; YOL107W is not an essential protein	Uncharacterized	chrXV	112102	113130	1
S000005468	YOL108C	INO4	INOsitol requiring	Transcription factor involved in phospholipid synthesis; required for derepression of inositol-choline-regulated genes involved in phospholipid synthesis; forms a complex, with Ino2p, that binds the inositol-choline-responsive element through a basic helix-loop-helix domain	Verified	chrXV	111431	111886	-1
S000005469	YOL109W	ZEO1	ZEOcin resistance	Peripheral membrane protein of the plasma membrane; interacts with Mid2p; regulates the cell integrity pathway mediated by Pkc1p and Slt2p; the authentic protein is detected in a phosphorylated state in highly purified mitochondria	Verified	chrXV	110297	110638	1
S000005470	YOL110W	SHR5	Suppressor of Hyperactive Ras	Palmitoyltransferase subunit; this complex adds a palmitoyl lipid moiety to heterolipidated substrates such as Ras1p and Ras2p through a thioester linkage; palmitoylation is required for Ras2p membrane localization; Palmitoyltransferase is composed of Shr5p and Erf2	Verified	chrXV	109176	109889	1
S000005471	YOL111C	MDY2	Mating-Deficient Yeast	Protein involved in inserting tail-anchored proteins into ER membranes; forms a complex with Get4p; required for efficient mating; involved in shmoo formation and nuclear migration in the pre-zygote; associates with ribosomes	Verified	chrXV	108258	108896	-1
S000005472	YOL112W	MSB4	Multicopy Suppression of a Budding defect	GTPase-activating protein of the Ras superfamily; acts primarily on Sec4p, localizes to the bud site and bud tip; msb3 msb4 double mutation causes defects in secretion and actin organization; similar to the TBC-domain Tre2 oncogene; MSB4 has a paralog, MSB3, that arose from the whole genome duplication; human homolog USP6NL can complement yeast msb3 msb4 double null mutant	Verified	chrXV	106710	108188	1
S000005473	YOL113W	SKM1	STE20/PAK homologous Kinase related to Morphogenesis	Member of the PAK family of serine/threonine protein kinases; similar to Ste20p; involved in down-regulation of sterol uptake; proposed to be a downstream effector of Cdc42p during polarized growth; SKM1 has a paralog, CLA4, that arose from the whole genome duplication	Verified	chrXV	104326	106293	1
S000005474	YOL114C	PTH4	Peptidyl tRNA Hydrolase	Stalled-ribosome rescue factor srRF1; similar to human peptidyl-tRNA hydrolase ICT1; associates with mitochondrial large subunit; not an essential gene	Verified	chrXV	103317	103925	-1
S000005475	YOL115W	PAP2	Poly(A) Polymerase	Non-canonical poly(A) polymerase; involved in nuclear RNA degradation as a component of TRAMP; catalyzes polyadenylation of hypomodified tRNAs, and snoRNA and rRNA precursors; required for mRNA surveillance and maintenance of genome integrity, serving as a link between RNA and DNA metabolism; overlapping but non-redundant functions with Trf5p; relocalizes to cytosol in response to hypoxia	Verified	chrXV	101475	103229	1
S000005476	YOL116W	MSN1	Multicopy suppressor of SNF1 mutation	Transcriptional activator; involved in regulation of invertase and glucoamylase expression, invasive growth and pseudohyphal differentiation, iron uptake, chromium accumulation, and response to osmotic stress; localizes to the nucleus; relative distribution to the nucleus increases upon DNA replication stress	Verified	chrXV	99809	100957	1
S000005477	YOL117W	RRI2	""	Subunit of the COP9 signalosome (CSN) complex; this complex cleaves the ubiquitin-like protein Nedd8 from SCF ubiquitin ligases; plays a role in the mating pheromone response	Verified	chrXV	97551	99488	1
S000005478	YOL118C	""	""	Putative protein of unknown function; conserved across S. cerevisiae strains	Uncharacterized	chrXV	96608	96916	-1
S000005479	YOL119C	MCH4	MonoCarboxylate transporter Homolog	Protein with similarity to mammalian monocarboxylate permeases; monocarboxylate permeases are involved in transport of monocarboxylic acids across the plasma membrane but mutant is not deficient in monocarboxylate transport	Verified	chrXV	94856	96361	-1
S000005480	YOL120C	RPL18A	Ribosomal Protein of the Large subunit	Ribosomal 60S subunit protein L18A; intron of RPL18A pre-mRNA forms stem-loop structures that are a target for Rnt1p cleavage leading to degradation; homologous to mammalian ribosomal protein L18, no bacterial homolog; RPL18A has a paralog, RPL18B, that arose from the whole genome duplication	Verified	chrXV	93395	94402	-1
S000005481	YOL121C	RPS19A	Ribosomal Protein of the Small subunit	Protein component of the small (40S) ribosomal subunit; required for assembly and maturation of pre-40 S particles; homologous to mammalian ribosomal protein S19, no bacterial homolog; mutations in human RPS19 are associated with Diamond Blackfan anemia; RPS19A has a paralog, RPS19B, that arose from the whole genome duplication	Verified	chrXV	92026	92850	-1
S000005482	YOL122C	SMF1	Suppressor of Mitochondria import Function	Divalent metal ion transporter; broad specificity for di-valent and tri-valent metals; post-translationally regulated by levels of metal ions; member of the Nramp family of metal transport proteins	Verified	chrXV	89692	91419	-1
S000005483	YOL123W	HRP1	Heterogenous nuclear RibonucleoProtein	Subunit of cleavage factor I; cleavage factor I is a five-subunit complex required for the cleavage and polyadenylation of pre-mRNA 3' ends; RRM-containing heteronuclear RNA binding protein and hnRNPA/B family member that binds to poly (A) signal sequences; required for genome stability; plays a role in copper homeostasis	Verified	chrXV	87844	89448	1
S000005484	YOL124C	TRM11	TRna Methyltransferase	Catalytic subunit of adoMet-dependent tRNA methyltransferase complex; required for the methylation of the guanosine nucleotide at position 10 (m2G10) in tRNAs; involved in the methylation of guanosine and uridine ribonucleosides in mRNA; contains a THUMP domain and a methyltransferase domain; methyltransferase complex also contains Trm112p	Verified	chrXV	85456	86757	-1
S000005485	YOL125W	TRM13	TRna Methyltransferase	2'-O-methyltransferase; responsible for modification of tRNA at position 4; C-terminal domain has similarity to Rossmann-fold (RFM) superfamily of RNA methyltransferases	Verified	chrXV	83834	85264	1
S000005486	YOL126C	MDH2	Malate DeHydrogenase	Cytoplasmic malate dehydrogenase; one of three isozymes that catalyze interconversion of malate and oxaloacetate; involved in the glyoxylate cycle and gluconeogenesis during growth on two-carbon compounds; interacts with Pck1p and Fbp1; mutation in human homolog MDH2 causes early-onset severe encephalopathy	Verified	chrXV	81787	82920	-1
S000005487	YOL127W	RPL25	Ribosomal Protein of the Large subunit	Ribosomal 60S subunit protein L25; primary rRNA-binding ribosomal protein component of large ribosomal subunit; binds to 25S rRNA via a conserved C-terminal motif; homologous to mammalian ribosomal protein L23A and bacterial L23	Verified	chrXV	80348	81190	1
S000005488	YOL128C	YGK3	Yeast homolog of Glycogen synthase Kinase	Protein kinase related to mammalian GSK-3 glycogen synthase kinases; GSK-3 homologs (Mck1p, Rim11p, Mrk1p, Ygk3p) are involved in control of Msn2p-dependent transcription of stress responsive genes and in protein degradation; YGK3 has a paralog, MCK1, that arose from the whole genome duplication	Verified	chrXV	78352	79479	-1
S000005489	YOL129W	VPS68	Vacuolar Protein Sorting	Vacuolar membrane protein of unknown function; involved in vacuolar protein sorting; also detected in the mitochondria	Verified	chrXV	77560	78114	1
S000005490	YOL130W	ALR1	ALuminum Resistance	Plasma membrane Mg(2+) transporter; expression and turnover are regulated by Mg(2+) concentration; overexpression confers increased tolerance to Al(3+) and Ga(3+) ions; magnesium transport defect of the null mutant is functionally complemented by either of the human genes MAGT1 and TUSC3 that are not orthologous to ALR1	Verified	chrXV	74400	76979	1
S000005491	YOL131W	""	""	Putative protein of unknown function; YOL131W has a paralog, STB1, that arose from the whole genome duplication	Uncharacterized	chrXV	73031	73357	1
S000005492	YOL132W	GAS4	Glycophospholipid-Anchored Surface protein	1,3-beta-glucanosyltransferase; involved with Gas2p in spore wall assembly; has similarity to Gas1p; localizes to the cell wall	Verified	chrXV	71300	72715	1
S000005493	YOL133W	HRT1	High level expression Reduces Ty3 transposition	RING-H2 domain core subunit of multiple ubiquitin ligase complexes; subunit of Skp1-Cullin-F-box (SCF) that tethers the Cdc34p (E2) and Cdc53p (cullin) SCF subunits, and is required for degradation of Gic2p, Far1p, Sic1p and Cln2p; subunit of the Rtt101p-Mms1p-Mms22p ubiquitin ligase that stabilizes replication forks after DNA lesions; subunit of the Cul3p-Elc1p-Ela1p ubiquitin ligase involved in Rpb1p degradation as part of transcription-coupled repair	Verified	chrXV	70325	70690	1
S000005494	YOL134C	""	""	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps HRT1, a verified gene that encodes an SCF ubiquitin ligase subunit	Dubious	chrXV	70156	70545	-1
S000005495	YOL135C	MED7	MEDiator complex	Subunit of the RNA polymerase II mediator complex; associates with core polymerase subunits to form the RNA polymerase II holoenzyme; essential for transcriptional regulation	Verified	chrXV	69376	70044	-1
